Ime,Leto,Velikost,Cena,Regija
LJ. CENTER,2014,78.8,369000.0,ljubljana-mesto
LJ. CENTER,1910,81.5,245000.0,ljubljana-mesto
LJ. CENTER,1895,82.4,380000.0,ljubljana-mesto
LJ. CENTER,1938,82.6,330000.0,ljubljana-mesto
LJ. CENTER,1938,82.6,330000.0,ljubljana-mesto
LJ. CENTER,1910,84.6,399000.0,ljubljana-mesto
LJ. CENTER,1899,85.0,399000.0,ljubljana-mesto
LJ. CENTER,1960,88.7,329000.0,ljubljana-mesto
LJ. CENTER,1995,89.93,415000.0,ljubljana-mesto
LJ. CENTER,1890,91.0,230000.0,ljubljana-mesto
LJ. CENTER,1893,91.1,390000.0,ljubljana-mesto
LJ. CENTER,1760,93.0,355000.0,ljubljana-mesto
LJ. CENTER,1400,94.5,400000.0,ljubljana-mesto
LJ. CENTER,1927,97.7,280000.0,ljubljana-mesto
LJ. CENTER,2004,98.74,465000.0,ljubljana-mesto
LJ. CENTER,1713,99.0,980000.0,ljubljana-mesto
LJ. CENTER,1826,99.6,388000.0,ljubljana-mesto
LJ. CENTER,1889,105.5,590000.0,ljubljana-mesto
LJ. CENTER,1860,106.0,595000.0,ljubljana-mesto
LJ. CENTER,2010,106.01,498000.0,ljubljana-mesto
LJ. CENTER,2010,106.01,498000.0,ljubljana-mesto
LJ. CENTER,1500,106.3,359000.0,ljubljana-mesto
LJ. CENTER,1955,108.0,250000.0,ljubljana-mesto
LJ. CENTER,1852,108.4,550000.0,ljubljana-mesto
LJ. CENTER,1939,109.0,410000.0,ljubljana-mesto
LJ. CENTER,1939,109.1,410000.0,ljubljana-mesto
LJ. CENTER,1895,110.0,485000.0,ljubljana-mesto
LJ. CENTER,2008,110.8,590000.0,ljubljana-mesto
LJ. CENTER,2008,110.8,590000.0,ljubljana-mesto
LJ. CENTER,1936,112.2,480000.0,ljubljana-mesto
LJ. CENTER,2005,113.0,750000.0,ljubljana-mesto
LJ. CENTER,1855,113.0,620000.0,ljubljana-mesto
LJ. CENTER,1955,115.2,450000.0,ljubljana-mesto
LJ. CENTER,1775,117.0,590000.0,ljubljana-mesto
LJ. CENTER,1600,117.0,580000.0,ljubljana-mesto
LJ. CENTER,1929,120.0,549000.0,ljubljana-mesto
LJ. CENTER,1910,120.0,650000.0,ljubljana-mesto
LJ. CENTER,1929,120.0,549000.0,ljubljana-mesto
LJ. CENTER,1933,120.0,600000.0,ljubljana-mesto
LJ. CENTER,1550,123.0,370000.0,ljubljana-mesto
LJ. CENTER,1955,124.0,495000.0,ljubljana-mesto
LJ. CENTER,2022,126.06,952554.0,ljubljana-mesto
LJ. CENTER,1930,126.8,445000.0,ljubljana-mesto
LJ. CENTER,1898,128.4,399000.0,ljubljana-mesto
LJ. CENTER,1930,132.0,700000.0,ljubljana-mesto
LJ. CENTER,1905,132.0,700000.0,ljubljana-mesto
LJ. CENTER,1713,132.4,980000.0,ljubljana-mesto
LJ. CENTER,1775,132.5,760000.0,ljubljana-mesto
LJ. CENTER,1939,132.7,495000.0,ljubljana-mesto
LJ. CENTER,1895,133.0,619000.0,ljubljana-mesto
LJ. CENTER,1760,133.2,460000.0,ljubljana-mesto
LJ. CENTER,1874,137.1,585000.0,ljubljana-mesto
LJ. CENTER,1902,140.0,649000.0,ljubljana-mesto
LJ. CENTER,1902,140.0,649000.0,ljubljana-mesto
LJ. CENTER,1840,145.0,3070.0,ljubljana-mesto
LJ. CENTER,1980,164.43,270000.0,ljubljana-mesto
LJ. CENTER,1886,167.0,615000.0,ljubljana-mesto
LJ. CENTER,2022,167.2,1405572.0,ljubljana-mesto
LJ. CENTER,1932,172.9,975000.0,ljubljana-mesto
LJ. CENTER,1932,172.9,975000.0,ljubljana-mesto
LJ. CENTER,1932,172.9,1200000.0,ljubljana-mesto
LJ. CENTER,1520,177.0,1080000.0,ljubljana-mesto
LJ. CENTER,1500,185.46,595000.0,ljubljana-mesto
LJ. CENTER,1912,190.0,700000.0,ljubljana-mesto
LJ. CENTER,1912,190.0,700000.0,ljubljana-mesto
LJ. CENTER,1912,190.0,699900.0,ljubljana-mesto
LJ. CENTER,1910,190.0,700000.0,ljubljana-mesto
LJ. CENTER,1907,192.8,770000.0,ljubljana-mesto
LJ. CENTER,1901,196.0,690000.0,ljubljana-mesto
LJ. CENTER,2021,197.2,950000.0,ljubljana-mesto
LJ. CENTER,1500,197.28,595000.0,ljubljana-mesto
LJ. CENTER,1900,202.7,2000000.0,ljubljana-mesto
LJ. CENTER,1900,202.7,2000000.0,ljubljana-mesto
LJ. CENTER,1907,207.5,770000.0,ljubljana-mesto
LJ. CENTER,2021,210.04,999000.0,ljubljana-mesto
LJ. CENTER,1939,224.0,1700000.0,ljubljana-mesto
LJ. CENTER,2006,226.0,749000.0,ljubljana-mesto
LJ. CENTER,2006,241.0,767000.0,ljubljana-mesto
LJ. CENTER,2022,255.0,1010000.0,ljubljana-mesto
LJ. CENTER,2002,276.7,1249000.0,ljubljana-mesto
LJ. CENTER,1860,282.6,1390000.0,ljubljana-mesto
LJ. CENTER,1896,286.1,1095000.0,ljubljana-mesto
LJ. CENTER,1800,350.0,1500000.0,ljubljana-mesto
"LJ. CENTER, - DEVANA PARK",2021,77.4,330000.0,ljubljana-mesto
"LJ. CENTER, BLIZU EKONOMSKE IN PEDAGOŠKE, FDV",1945,58.0,300000.0,ljubljana-mesto
"LJ. CENTER, BLIZU KRIŽANK",1701,105.7,425000.0,ljubljana-mesto
"LJ. CENTER, BLIŽINA KRIŽANK",1814,13.6,77000.0,ljubljana-mesto
"LJ. CENTER, BLIŽINA TRŽNICE, GARAŽA",1961,68.4,269000.0,ljubljana-mesto
"LJ. CENTER, BLIŽINA UKC",2009,45.7,210000.0,ljubljana-mesto
"LJ. CENTER, BLIŽINA ZMAJSKEGA MOSTU",1936,190.9,492000.0,ljubljana-mesto
"LJ. CENTER, BOHORIČEVA ULICA",2011,74.4,400000.0,ljubljana-mesto
"LJ. CENTER, CANKARJEVA",1975,58.85,333000.0,ljubljana-mesto
"LJ. CENTER, CANKARJEVA ULICA",1975,69.4,375000.0,ljubljana-mesto
"LJ. CENTER, CESTA NA LOKO",1904,56.0,197000.0,ljubljana-mesto
"LJ. CENTER, DALMATINOVA",1903,104.4,500000.0,ljubljana-mesto
"LJ. CENTER, DEVANA PARK II",2024,41.09,229299.11,ljubljana-mesto
"LJ. CENTER, DEVANA PARK II",2024,59.03,330735.88,ljubljana-mesto
"LJ. CENTER, DEVANA PARK II",2024,68.69,377239.43,ljubljana-mesto
"LJ. CENTER, DEVANA PARK II",2024,78.22,459399.11,ljubljana-mesto
"LJ. CENTER, DEVANA PARK II",2024,93.84,583165.66,ljubljana-mesto
"LJ. CENTER, DEVANA PARK II",2024,93.87,524494.16,ljubljana-mesto
"LJ. CENTER, DEVANA PARK II",2024,116.84,770985.18,ljubljana-mesto
"LJ. CENTER, DEVANA PARK II",2024,141.75,1009476.89,ljubljana-mesto
"LJ. CENTER, EKSKLUZIVNO MEŠČANSKO STANOVANJE V SRCU CENTRA M...",1986,180.6,2500000.0,ljubljana-mesto
"LJ. CENTER, EKSKLUZIVNO STANOVANJE Z GALERIJO",1899,185.8,480000.0,ljubljana-mesto
"LJ. CENTER, ENKRATNA PRILOŽNOST PRODAJA MEŠČANSKEGA STANOVAN...",1890,138.45,730000.0,ljubljana-mesto
"LJ. CENTER, FUNKCIONALNO STANOVANJE NA ELITNI LOKACIJI",1890,78.0,298000.0,ljubljana-mesto
"LJ. CENTER, GORNJI TRG, V CELOTI PRENOVLJENO",1785,40.17,229000.0,ljubljana-mesto
"LJ. CENTER, GREGORČIČEVA ULICA",1937,38.2,145000.0,ljubljana-mesto
"LJ. CENTER, IGRIŠKA ULICA",1933,87.7,440000.0,ljubljana-mesto
"LJ. CENTER, ILIRSKA",1938,46.19,225000.0,ljubljana-mesto
"LJ. CENTER, LJ",2022,15.0,132000.0,ljubljana-mesto
"LJ. CENTER, MALA ČOLNARSKA",1905,64.7,280000.0,ljubljana-mesto
"LJ. CENTER, MASARYKOVA REZIDENCA",2023,118.2,539000.0,ljubljana-mesto
"LJ. CENTER, MESARSKA CESTA",2005,29.0,220000.0,ljubljana-mesto
"LJ. CENTER, MESARSKA CESTA",2006,175.4,659000.0,ljubljana-mesto
"LJ. CENTER, MESTNI TRG",1550,123.7,370000.0,ljubljana-mesto
"LJ. CENTER, MESTNI TRG",1550,123.7,370000.0,ljubljana-mesto
"LJ. CENTER, MESTNI TRG",1616,197.0,595000.0,ljubljana-mesto
"LJ. CENTER, MIKLOŠIČEVA",1929,120.0,529000.0,ljubljana-mesto
"LJ. CENTER, MIKLOŠIČEVA",1907,194.5,770000.0,ljubljana-mesto
"LJ. CENTER, MIKLOŠIČEVA",1900,216.0,690000.0,ljubljana-mesto
"LJ. CENTER, MIKLOŠIČEVA CESTA",1929,224.5,1700000.0,ljubljana-mesto
"LJ. CENTER, MIKLOŠIČEVA ULICA",1929,70.0,750000.0,ljubljana-mesto
"LJ. CENTER, MIKLOŠIČEVA ULICA",1929,168.0,1300000.0,ljubljana-mesto
"LJ. CENTER, NJEGOŠEV KVART",2009,39.29,278000.0,ljubljana-mesto
"LJ. CENTER, NJEGOŠEVA",1927,64.0,205000.0,ljubljana-mesto
"LJ. CENTER, OB LJUBLJANICI",1896,102.5,380000.0,ljubljana-mesto
"LJ. CENTER, OBNOVLJENO POLKLETNO STANOVANJE Z VELIKIMI OKNI,...",1895,59.6,220000.0,ljubljana-mesto
"LJ. CENTER, ODLIČNA LOKACIJA, BLIŽINA UKC",1900,97.6,419000.0,ljubljana-mesto
"LJ. CENTER, PARKIRANJE V GARAŽI, LOŽA",2004,49.7,222000.0,ljubljana-mesto
"LJ. CENTER, PARKIRIŠČE",1898,54.0,250000.0,ljubljana-mesto
"LJ. CENTER, POGLED NA LJUBLJANICO",1929,113.26,469000.0,ljubljana-mesto
"LJ. CENTER, POLJANSKO NABREŽJE",2021,50.0,198000.0,ljubljana-mesto
"LJ. CENTER, POSLOVNI APARTMA",1988,82.65,239000.0,ljubljana-mesto
"LJ. CENTER, PREŠERNOVA CESTA",1880,105.5,590000.0,ljubljana-mesto
"LJ. CENTER, PREŠERNOVA CESTA 15",2003,45.5,167000.0,ljubljana-mesto
"LJ. CENTER, PRI UKC, PRIJETNO STANOVANJE, MOŽNOST NAKUPA DVE...",1900,44.6,212000.0,ljubljana-mesto
"LJ. CENTER, PRULE",1965,34.1,195000.0,ljubljana-mesto
"LJ. CENTER, PRULE",1850,39.0,205000.0,ljubljana-mesto
"LJ. CENTER, RESLJEVA CESTA",1897,35.8,170000.0,ljubljana-mesto
"LJ. CENTER, RESLJEVA CESTA",1855,60.1,210000.0,ljubljana-mesto
"LJ. CENTER, SLOMŠKOVA ULICA",1993,228.0,1070000.0,ljubljana-mesto
"LJ. CENTER, SLOVENSKA CESTA",1895,44.0,175000.0,ljubljana-mesto
"LJ. CENTER, STARA - STARI TRG",1600,206.8,650000.0,ljubljana-mesto
"LJ. CENTER, STARA, GORNJI TRG",1550,261.7,800000.0,ljubljana-mesto
"LJ. CENTER, STARI TRG",1902,72.4,310000.0,ljubljana-mesto
"LJ. CENTER, STRITARJEVA ULICA",1525,205.0,1300000.0,ljubljana-mesto
"LJ. CENTER, ŠMARTINSKA CESTA",1910,32.0,129990.0,ljubljana-mesto
"LJ. CENTER, ŠMARTINSKA CESTA",1890,34.6,145000.0,ljubljana-mesto
"LJ. CENTER, ŠMARTINSKA CESTA",1890,34.6,145000.0,ljubljana-mesto
"LJ. CENTER, TABOR",1929,73.2,267000.0,ljubljana-mesto
"LJ. CENTER, TABOR",1880,111.1,370000.0,ljubljana-mesto
"LJ. CENTER, TAVČARJEVA",1905,162.9,675000.0,ljubljana-mesto
"LJ. CENTER, TAVČARJEVA UL., OBNOVLJENO",1905,162.9,650000.0,ljubljana-mesto
"LJ. CENTER, TIVOLSKA",1938,86.8,349000.0,ljubljana-mesto
"LJ. CENTER, TRNOVO - ZIHERLOVA ULICA",1972,276.6,650000.0,ljubljana-mesto
"LJ. CENTER, TRUBARJEVA CESTA",1939,109.1,410000.0,ljubljana-mesto
"LJ. CENTER, TRUBARJEVA CESTA",1930,136.9,387000.0,ljubljana-mesto
"LJ. CENTER, V STROGEM CENTRU, NASPROTI TV SLO, S POGLEDOM NA...",1956,27.48,165000.0,ljubljana-mesto
"LJ. CENTER, VIČ",1987,62.1,225000.0,ljubljana-mesto
"LJ. CENTER, VILA DALMATINKA",2022,127.0,1145532.0,ljubljana-mesto
"LJ. CENTER, VILA DALMATINKA",2022,148.4,1352000.0,ljubljana-mesto
"LJ. CENTER, VILA DALMATINKA",2022,302.0,8500.0,ljubljana-mesto
"LJ. CENTER, VILHARJEVA CESTA, OBJEKT SITULA",2013,97.5,495000.0,ljubljana-mesto
"LJ. CENTER, VKLJUČNO Z GARAŽO",1961,68.3,269000.0,ljubljana-mesto
"LJ. CENTER, VODMAT",1900,32.0,114000.0,ljubljana-mesto
"LJ. CENTER, VODMAT, ATRIJ",2022,105.9,549000.0,ljubljana-mesto
"LJ. CENTER, VOŠNJAKOVA",1962,57.1,228000.0,ljubljana-mesto
"LJ. CENTER, VOŠNJAKOVA UL.",1922,77.3,296000.0,ljubljana-mesto
"LJ. CENTER, VOŠNJAKOVA ULICA",1955,108.0,250000.0,ljubljana-mesto
"LJ. CENTER, VOŠNJAKOVA ULICA, OBNOVLJENO",1922,48.0,279000.0,ljubljana-mesto
LJ. MOSTE,1965,16.0,95000.0,ljubljana-mesto
LJ. MOSTE,1975,20.0,154000.0,ljubljana-mesto
LJ. MOSTE,1968,21.5,109700.0,ljubljana-mesto
LJ. MOSTE,1914,24.3,129900.0,ljubljana-mesto
LJ. MOSTE,1971,34.8,168000.0,ljubljana-mesto
LJ. MOSTE,1969,38.2,169000.0,ljubljana-mesto
LJ. MOSTE,2022,40.18,195466.0,ljubljana-mesto
LJ. MOSTE,1976,41.5,170000.0,ljubljana-mesto
LJ. MOSTE,1970,53.0,247000.0,ljubljana-mesto
LJ. MOSTE,1970,53.5,247000.0,ljubljana-mesto
LJ. MOSTE,1963,54.7,218000.0,ljubljana-mesto
LJ. MOSTE,1900,55.3,189000.0,ljubljana-mesto
LJ. MOSTE,1968,56.2,209000.0,ljubljana-mesto
LJ. MOSTE,1965,57.0,227000.0,ljubljana-mesto
LJ. MOSTE,1965,57.2,233000.0,ljubljana-mesto
LJ. MOSTE,1967,59.0,224900.0,ljubljana-mesto
LJ. MOSTE,1920,60.0,200000.0,ljubljana-mesto
LJ. MOSTE,1982,61.5,250000.0,ljubljana-mesto
LJ. MOSTE,2015,62.0,273000.0,ljubljana-mesto
LJ. MOSTE,1963,65.0,225000.0,ljubljana-mesto
LJ. MOSTE,1976,65.23,220400.0,ljubljana-mesto
LJ. MOSTE,1961,67.0,225000.0,ljubljana-mesto
LJ. MOSTE,2022,67.11,280227.0,ljubljana-mesto
LJ. MOSTE,2022,67.43,281179.0,ljubljana-mesto
LJ. MOSTE,1930,67.5,179000.0,ljubljana-mesto
LJ. MOSTE,2022,67.76,276079.0,ljubljana-mesto
LJ. MOSTE,1975,69.78,270000.0,ljubljana-mesto
LJ. MOSTE,2022,69.99,306440.0,ljubljana-mesto
LJ. MOSTE,1922,70.0,244000.0,ljubljana-mesto
LJ. MOSTE,2022,70.0,290635.0,ljubljana-mesto
LJ. MOSTE,2022,70.0,292403.0,ljubljana-mesto
LJ. MOSTE,1966,71.7,250000.0,ljubljana-mesto
LJ. MOSTE,1961,72.85,259000.0,ljubljana-mesto
LJ. MOSTE,2021,83.82,342379.0,ljubljana-mesto
LJ. MOSTE,2022,83.82,341297.0,ljubljana-mesto
LJ. MOSTE,1974,85.0,274000.0,ljubljana-mesto
LJ. MOSTE,1981,86.2,320000.0,ljubljana-mesto
LJ. MOSTE,1995,120.0,284000.0,ljubljana-mesto
LJ. MOSTE,2004,228.2,990000.0,ljubljana-mesto
LJ. MOSTE,2004,231.4,990000.0,ljubljana-mesto
"LJ. MOSTE, - ZELENA JAMA",1899,35.0,153000.0,ljubljana-mesto
"LJ. MOSTE, BALKON, DVIGALO",1968,71.1,240000.0,ljubljana-mesto
"LJ. MOSTE, DRUŠTVENA ULICA",1900,110.0,350000.0,ljubljana-mesto
"LJ. MOSTE, ENOSOBNO STANOVANJE, ODLIČNA IN MIRNA LOKACIJA, E...",1899,35.0,153000.0,ljubljana-mesto
"LJ. MOSTE, FUŽINE",1981,93.0,318000.0,ljubljana-mesto
"LJ. MOSTE, NOVE JARŠE, BEBLERJEV TRG",1982,61.5,265000.0,ljubljana-mesto
"LJ. MOSTE, NOVE JARŠE, BTC",1979,65.0,249000.0,ljubljana-mesto
"LJ. MOSTE, NOVO POLJE CESTA VI",1977,65.5,215000.0,ljubljana-mesto
"LJ. MOSTE, PENTHOUSE Z RAZGLEDOM",2006,214.0,990000.0,ljubljana-mesto
"LJ. MOSTE, POD GOLOVCEM, ATRIJ",2005,84.7,375000.0,ljubljana-mesto
"LJ. MOSTE, POLJE",1945,95.0,240000.0,ljubljana-mesto
"LJ. MOSTE, POTRČEVA UL.",1961,59.0,206000.0,ljubljana-mesto
"LJ. MOSTE, POTRČEVA UL.",1961,59.0,206000.0,ljubljana-mesto
"LJ. MOSTE, ROJČEVA ULICA",1972,76.9,245000.0,ljubljana-mesto
"LJ. MOSTE, SLO",1968,68.0,240000.0,ljubljana-mesto
"LJ. MOSTE, ŠMARTINSKA CESTA",1936,120.0,334000.0,ljubljana-mesto
"LJ. MOSTE, ŠTEPANJSK NASELJE",1975,95.3,295000.0,ljubljana-mesto
"LJ. MOSTE, ŠTEPANJSKO NASELJE",1977,42.5,190000.0,ljubljana-mesto
"LJ. MOSTE, ŠTEPANJSKO NASELJE",1975,65.2,200000.0,ljubljana-mesto
"LJ. MOSTE, ŠTEPANJSKO NASELJE",1976,65.3,220000.0,ljubljana-mesto
"LJ. MOSTE, ŠTEPANJSKO NASELJE",1976,84.8,320000.0,ljubljana-mesto
"LJ. MOSTE, ŠTEPANJSKO NASELJE",1974,85.1,287000.0,ljubljana-mesto
"LJ. MOSTE, TOPLARNIŠKA ULICA",1963,70.5,225000.0,ljubljana-mesto
"LJ. MOSTE, ULICA VIDE PREGARČEVE",1965,15.3,105000.0,ljubljana-mesto
"LJ. MOSTE, ULICA VIDE PREGARČEVE",1965,16.7,94990.0,ljubljana-mesto
"LJ. MOSTE, ULICA VIDE PREGARČEVE",1930,59.4,199900.0,ljubljana-mesto
"LJ. MOSTE, ZALOŠKA",1800,122.9,289000.0,ljubljana-mesto
"LJ. MOSTE, ZALOŠKA CESTA",1971,34.7,168000.0,ljubljana-mesto
"LJ. MOSTE, ZALOŠKA CESTA",2000,53.5,194990.0,ljubljana-mesto
LJ. ŠIŠKA,1984,14.0,65000.0,ljubljana-mesto
LJ. ŠIŠKA,1983,19.22,85000.0,ljubljana-mesto
LJ. ŠIŠKA,1933,19.3,75000.0,ljubljana-mesto
LJ. ŠIŠKA,1977,20.8,127000.0,ljubljana-mesto
LJ. ŠIŠKA,1983,22.0,97000.0,ljubljana-mesto
LJ. ŠIŠKA,1969,24.9,119000.0,ljubljana-mesto
LJ. ŠIŠKA,1929,27.2,125000.0,ljubljana-mesto
LJ. ŠIŠKA,1971,27.3,153000.0,ljubljana-mesto
LJ. ŠIŠKA,2023,27.4,177500.0,ljubljana-mesto
LJ. ŠIŠKA,1970,28.0,169000.0,ljubljana-mesto
LJ. ŠIŠKA,1946,30.0,190000.0,ljubljana-mesto
LJ. ŠIŠKA,1938,34.4,175000.0,ljubljana-mesto
LJ. ŠIŠKA,1941,35.9,129000.0,ljubljana-mesto
LJ. ŠIŠKA,1941,35.9,129000.0,ljubljana-mesto
LJ. ŠIŠKA,1900,40.1,180000.0,ljubljana-mesto
LJ. ŠIŠKA,2009,47.0,195000.0,ljubljana-mesto
LJ. ŠIŠKA,1895,47.2,189000.0,ljubljana-mesto
LJ. ŠIŠKA,1961,50.5,196900.0,ljubljana-mesto
LJ. ŠIŠKA,1963,53.8,240000.0,ljubljana-mesto
LJ. ŠIŠKA,1980,53.8,240000.0,ljubljana-mesto
LJ. ŠIŠKA,1980,54.0,240000.0,ljubljana-mesto
LJ. ŠIŠKA,1961,54.2,245000.0,ljubljana-mesto
LJ. ŠIŠKA,1964,58.3,189000.0,ljubljana-mesto
LJ. ŠIŠKA,1967,60.0,245000.0,ljubljana-mesto
LJ. ŠIŠKA,1979,62.6,229000.0,ljubljana-mesto
LJ. ŠIŠKA,1958,63.0,249000.0,ljubljana-mesto
LJ. ŠIŠKA,1968,63.7,220000.0,ljubljana-mesto
LJ. ŠIŠKA,1960,64.0,255000.0,ljubljana-mesto
LJ. ŠIŠKA,2022,65.1,355000.0,ljubljana-mesto
LJ. ŠIŠKA,2022,65.1,355000.0,ljubljana-mesto
LJ. ŠIŠKA,1974,66.5,248000.0,ljubljana-mesto
LJ. ŠIŠKA,1948,67.7,239300.0,ljubljana-mesto
LJ. ŠIŠKA,1949,68.0,255000.0,ljubljana-mesto
LJ. ŠIŠKA,1969,68.8,268000.0,ljubljana-mesto
LJ. ŠIŠKA,1964,69.4,259990.0,ljubljana-mesto
LJ. ŠIŠKA,1970,69.9,285000.0,ljubljana-mesto
LJ. ŠIŠKA,1964,70.3,239000.0,ljubljana-mesto
LJ. ŠIŠKA,1949,70.7,250000.0,ljubljana-mesto
LJ. ŠIŠKA,1960,71.0,219000.0,ljubljana-mesto
LJ. ŠIŠKA,1949,71.2,235000.0,ljubljana-mesto
LJ. ŠIŠKA,1949,71.2,235000.0,ljubljana-mesto
LJ. ŠIŠKA,1974,72.4,289000.0,ljubljana-mesto
LJ. ŠIŠKA,1972,73.2,272000.0,ljubljana-mesto
LJ. ŠIŠKA,1889,73.6,237000.0,ljubljana-mesto
LJ. ŠIŠKA,1964,74.0,239000.0,ljubljana-mesto
LJ. ŠIŠKA,2008,75.4,450000.0,ljubljana-mesto
LJ. ŠIŠKA,2009,75.4,450000.0,ljubljana-mesto
LJ. ŠIŠKA,1964,76.0,259000.0,ljubljana-mesto
LJ. ŠIŠKA,1964,76.0,260000.0,ljubljana-mesto
LJ. ŠIŠKA,1940,77.0,180000.0,ljubljana-mesto
LJ. ŠIŠKA,2021,78.8,420000.0,ljubljana-mesto
LJ. ŠIŠKA,1950,84.0,310000.0,ljubljana-mesto
LJ. ŠIŠKA,1952,84.8,275000.0,ljubljana-mesto
LJ. ŠIŠKA,2014,85.4,269000.0,ljubljana-mesto
LJ. ŠIŠKA,1967,86.0,310000.0,ljubljana-mesto
LJ. ŠIŠKA,1946,92.0,299000.0,ljubljana-mesto
LJ. ŠIŠKA,1931,96.0,330000.0,ljubljana-mesto
LJ. ŠIŠKA,1948,99.3,315000.0,ljubljana-mesto
LJ. ŠIŠKA,1975,100.5,430000.0,ljubljana-mesto
LJ. ŠIŠKA,1929,102.7,330000.0,ljubljana-mesto
LJ. ŠIŠKA,1940,104.9,275000.0,ljubljana-mesto
LJ. ŠIŠKA,1947,107.1,385000.0,ljubljana-mesto
LJ. ŠIŠKA,1940,122.2,279000.0,ljubljana-mesto
LJ. ŠIŠKA,2020,187.2,1300000.0,ljubljana-mesto
"LJ. ŠIŠKA, 2 LASTNIŠKI PARKIRNI MESTI",2008,85.8,397500.0,ljubljana-mesto
"LJ. ŠIŠKA, ADAMIČEVA ULICA",1972,28.3,147990.0,ljubljana-mesto
"LJ. ŠIŠKA, ANDREAŠEVA ULICA",1978,40.1,160000.0,ljubljana-mesto
"LJ. ŠIŠKA, BLIŽINA KNJIŽNICE",1968,50.5,189000.0,ljubljana-mesto
"LJ. ŠIŠKA, BLIŽINA KOSEŠKE TRŽNICE / ALEJE",1971,63.2,298000.0,ljubljana-mesto
"LJ. ŠIŠKA, BLIŽINA MESTA - STARA CERKEV",1983,60.1,229500.0,ljubljana-mesto
"LJ. ŠIŠKA, CELOVŠKA CESTA 95",1942,90.1,287000.0,ljubljana-mesto
"LJ. ŠIŠKA, CELOVŠKA CESTA 99B",1964,76.4,342000.0,ljubljana-mesto
"LJ. ŠIŠKA, CELOVŠKI DVORI",2009,94.4,450000.0,ljubljana-mesto
"LJ. ŠIŠKA, DRAVLJE",1964,100.0,360000.0,ljubljana-mesto
"LJ. ŠIŠKA, DRAVLJE - DOLOMITSKA ULICA",1962,44.5,141500.0,ljubljana-mesto
"LJ. ŠIŠKA, DRAVLJE, BALKON, ISKANA SOSESKA",1975,72.5,250000.0,ljubljana-mesto
"LJ. ŠIŠKA, EKSKLUZIVNO ATRIJSKO STANOVANJE",2009,116.8,470000.0,ljubljana-mesto
"LJ. ŠIŠKA, KNEZOVA ULICA",1910,39.0,150000.0,ljubljana-mesto
"LJ. ŠIŠKA, KOGOJEVA, NASPROTI ALEJE",1969,72.0,289000.0,ljubljana-mesto
"LJ. ŠIŠKA, KOSEZE",1975,104.0,460000.0,ljubljana-mesto
"LJ. ŠIŠKA, KOSEZE TERASASTI BLOKI",1980,118.0,445000.0,ljubljana-mesto
"LJ. ŠIŠKA, KOSEZE, ATRIJSKO",1978,61.8,249000.0,ljubljana-mesto
"LJ. ŠIŠKA, LAKOTENCE",2008,54.0,170000.0,ljubljana-mesto
"LJ. ŠIŠKA, LITOSTROJSKA C.",1955,95.0,295000.0,ljubljana-mesto
"LJ. ŠIŠKA, LJUBELJSKA ULICA",1962,70.9,235000.0,ljubljana-mesto
"LJ. ŠIŠKA, MEŠČANSKO STANOVANJE S PROSTORNO TERASO",1935,87.2,340000.0,ljubljana-mesto
"LJ. ŠIŠKA, MILČINSKEGA ULICA",1931,76.3,195000.0,ljubljana-mesto
"LJ. ŠIŠKA, NASPROTI TIVOLIJA",1936,51.9,183000.0,ljubljana-mesto
"LJ. ŠIŠKA, OB ŽICI",1971,26.1,130000.0,ljubljana-mesto
"LJ. ŠIŠKA, OB ŽICI",1970,28.0,153000.0,ljubljana-mesto
"LJ. ŠIŠKA, OBIRSKA ULICA",1952,92.0,245000.0,ljubljana-mesto
"LJ. ŠIŠKA, PARKIRNO MESTO",2022,65.1,355000.0,ljubljana-mesto
"LJ. ŠIŠKA, PARKIRNO MESTO",2022,65.1,355000.0,ljubljana-mesto
"LJ. ŠIŠKA, PILONOVA, POGLED NA KRIM",2022,91.8,480000.0,ljubljana-mesto
"LJ. ŠIŠKA, PRENOVLJENO, SVETLO, MIRNA LOKACIJA",1967,50.4,218000.0,ljubljana-mesto
"LJ. ŠIŠKA, PRI ZDRAVSTVENEM DOMU",1963,70.5,235000.0,ljubljana-mesto
"LJ. ŠIŠKA, ROMANTIČNA REZIDENCA",1903,88.8,442000.0,ljubljana-mesto
"LJ. ŠIŠKA, SLOVENIJA",1963,43.8,195000.0,ljubljana-mesto
"LJ. ŠIŠKA, SP.",1934,34.3,140000.0,ljubljana-mesto
"LJ. ŠIŠKA, SPODNJA",1908,37.5,180000.0,ljubljana-mesto
"LJ. ŠIŠKA, SPODNJA",1939,45.8,190000.0,ljubljana-mesto
"LJ. ŠIŠKA, SPODNJA",1908,46.9,238000.0,ljubljana-mesto
"LJ. ŠIŠKA, SPODNJA",1963,54.4,200000.0,ljubljana-mesto
"LJ. ŠIŠKA, STARA CERKEV, TRŽNA ULICA",1983,70.2,289000.0,ljubljana-mesto
"LJ. ŠIŠKA, ŠENTVID",1910,25.1,79000.0,ljubljana-mesto
"LJ. ŠIŠKA, ŠENTVID",1960,33.25,140000.0,ljubljana-mesto
"LJ. ŠIŠKA, ŠIŠENSKA CESTA",1961,58.5,184900.0,ljubljana-mesto
"LJ. ŠIŠKA, ŠIŠENSKA CESTA",1968,66.2,223000.0,ljubljana-mesto
