Ime,Leto,Velikost,Cena,Regija
"ČRNUČE, NOVO SODOBNO SVETLO 2 - SOBNO Z LOŽO S SHRAMBO IN 1 ...",2024,49.65,231348.2,ljubljana-mesto
"ČRNUČE, NOVO SODOBNO SVETLO 3 - SOBNO Z LOŽO SHRAMBO IN 1 PA...",2024,73.1,321831.45,ljubljana-mesto
ČRNUŠKA GMAJNA,1988,65.0,250000.0,ljubljana-mesto
"DOBRUNJE, SLOVENIJA",1910,43.6,150000.0,ljubljana-mesto
DOLGI MOST,2022,46.6,267000.0,ljubljana-mesto
DOLGI MOST,2022,50.8,239000.0,ljubljana-mesto
DOLGI MOST,2003,70.0,200000.0,ljubljana-mesto
DOLGI MOST,2023,72.0,324343.0,ljubljana-mesto
DOLGI MOST,2023,72.25,292613.0,ljubljana-mesto
DOLGI MOST,2022,72.3,338000.0,ljubljana-mesto
DOLGI MOST,2023,73.27,279714.0,ljubljana-mesto
DOLGI MOST,2023,75.39,309099.0,ljubljana-mesto
DOLGI MOST,2023,77.25,336567.0,ljubljana-mesto
DOLGI MOST,2004,84.4,375000.0,ljubljana-mesto
DOLGI MOST,1999,86.8,360000.0,ljubljana-mesto
DOLGI MOST,2023,92.0,428672.0,ljubljana-mesto
DOLGI MOST,1990,122.5,297000.0,ljubljana-mesto
DOLGI MOST,1990,122.5,318000.0,ljubljana-mesto
DOLGI MOST,1990,122.5,329000.0,ljubljana-mesto
"DOLGI MOST, FUNKCIONALNO STANOVANJE S TERASO IN VRTOM",1950,113.5,278000.0,ljubljana-mesto
"DOLGI MOST, LJ.",1990,122.5,297000.0,ljubljana-mesto
DRAVELJSKA GMAJNA,1981,56.3,230000.0,ljubljana-mesto
DRAVELJSKA GMAJNA,1975,70.0,245000.0,ljubljana-mesto
DRAVLJE,1985,34.1,130000.0,ljubljana-mesto
DRAVLJE,1975,38.0,147000.0,ljubljana-mesto
DRAVLJE,1975,39.6,145000.0,ljubljana-mesto
DRAVLJE,2022,55.26,279000.0,ljubljana-mesto
DRAVLJE,1975,61.6,230000.0,ljubljana-mesto
DRAVLJE,1977,76.83,238000.0,ljubljana-mesto
DRAVLJE,1978,79.3,240000.0,ljubljana-mesto
DRAVLJE,1977,79.3,310000.0,ljubljana-mesto
DRAVLJE,1983,80.0,310000.0,ljubljana-mesto
DRAVLJE,1983,80.11,250000.0,ljubljana-mesto
DRAVLJE,1983,92.0,325000.0,ljubljana-mesto
DRAVLJE,1982,94.48,329000.0,ljubljana-mesto
DRAVLJE,2014,116.7,690000.0,ljubljana-mesto
DRAVLJE,2007,125.5,349000.0,ljubljana-mesto
"DRAVLJE, BRILEJEVA - S PARKIRNIM MESTOM",1982,62.0,240000.0,ljubljana-mesto
"DRAVLJE, BRILEJEVA 16",1984,48.2,189000.0,ljubljana-mesto
"DRAVLJE, LJ. ŠIŠKA",1983,77.0,305000.0,ljubljana-mesto
"DRAVLJE, PLEŠIČEVA ULICA",1981,52.2,199000.0,ljubljana-mesto
"DRAVLJE, PLEŠIČEVA ULICA, PRENOVLJENO",1981,63.1,225000.0,ljubljana-mesto
"DRAVLJE, VODNIKOVA CESTA",1920,108.5,203000.0,ljubljana-mesto
FUŽINE,1986,53.6,230000.0,ljubljana-mesto
FUŽINE,2022,58.8,259000.0,ljubljana-mesto
FUŽINE,1981,64.5,254000.0,ljubljana-mesto
FUŽINE,1982,72.0,285000.0,ljubljana-mesto
FUŽINE,1981,73.6,249000.0,ljubljana-mesto
FUŽINE,1984,74.0,269000.0,ljubljana-mesto
FUŽINE,1985,75.2,279000.0,ljubljana-mesto
FUŽINE,1986,79.2,279900.0,ljubljana-mesto
FUŽINE,1986,79.2,279900.0,ljubljana-mesto
FUŽINE,1981,86.2,320000.0,ljubljana-mesto
FUŽINE,1981,86.2,299000.0,ljubljana-mesto
FUŽINE,1981,89.32,289000.0,ljubljana-mesto
FUŽINE,1981,90.6,318000.0,ljubljana-mesto
FUŽINE,1903,119.0,249000.0,ljubljana-mesto
"FUŽINE, NOVE FUZINE",1981,92.19,365000.0,ljubljana-mesto
"FUŽINE, POT NA",1981,74.0,238000.0,ljubljana-mesto
"FUŽINE, PREGLOV TRG",1985,75.2,279000.0,ljubljana-mesto
"FUŽINE, RUSJANOV TRG",1986,80.0,298000.0,ljubljana-mesto
"FUŽINE, RUSJANOV TRG, SVETLI PROSTORI",1986,79.2,275000.0,ljubljana-mesto
"FUŽINE, SLO",1986,79.0,269999.0,ljubljana-mesto
"GALJEVICA, MIRNA LOKACIJA V BLIŽINI CENTRA",2008,44.0,210000.0,ljubljana-mesto
"GALJEVICA, V BLIŽINI NAKUPOVALNEGA SREDIŠČA RUDNIK, PRIKLJUČ...",2008,37.7,179000.0,ljubljana-mesto
JARŠE,1952,26.8,107200.0,ljubljana-mesto
JARŠE,1967,86.3,269000.0,ljubljana-mesto
JARŠE,2004,231.4,990000.0,ljubljana-mesto
JEŽICA,1978,76.8,355000.0,ljubljana-mesto
JEŽICA,1974,99.1,269000.0,ljubljana-mesto
JEŽICA,1980,119.8,245000.0,ljubljana-mesto
"JEŽICA, BEŽIGRAD - GLINŠKOVA PLOŠČAD",1977,78.4,295000.0,ljubljana-mesto
"JEŽICA, BEŽIGRAD BS4",2000,68.25,350000.0,ljubljana-mesto
"JEŽICA, PRENOVLJENO, LEPO STANOVANJE V VISOKEM PRITLIČJU, GL...",1978,79.0,295000.0,ljubljana-mesto
KODELJEVO,1963,41.5,168000.0,ljubljana-mesto
KODELJEVO,1936,53.9,217000.0,ljubljana-mesto
KODELJEVO,1936,53.9,217000.0,ljubljana-mesto
